degree,frequency,p_k,ln_k,ln_p_k,ccdf,ln_ccdf
10,7753,0.15119544444011077,2.302585092994046,-1.8891819450549496,1.0,0.0
11,5972,0.11646320059284683,2.3978952727983707,-2.1501799306148275,0.8488045555598892,-0.16392632463751886
12,4818,0.09395842271539452,2.4849066497880004,-2.364902906099092,0.7323413549670424,-0.3115085417975753
13,4240,0.08268653223604665,2.5649493574615367,-2.492698541047905,0.6383829322516479,-0.4488169683987169
14,3580,0.06981551542571864,2.6390573296152584,-2.6618990098791624,0.5556964000156013,-0.5875331770048086
15,3041,0.05930418503061742,2.70805020110221,-2.825075401596544,0.4858808845898826,-0.7217917785584037
16,2654,0.05175708881001599,2.772588722239781,-2.9611938743817556,0.4265766995592652,-0.8519630933787375
17,2269,0.04424899567065798,2.833213344056216,-3.117922604494067,0.3748196107492492,-0.9813104067496251
18,1976,0.03853504426849721,2.8903717578961645,-3.2561872109660954,0.3305706150785912,-1.1069349811554223
19,1687,0.03289909902882328,2.9444389791664403,-3.4143100067279404,0.292035570810094,-1.2308796662902586
20,1427,0.027828698467178906,2.995732273553991,-3.581687471797072,0.2591364717812707,-1.350400437980778
21,1311,0.02556651975506065,3.044522437723423,-3.6664716055102087,0.2313077733140918,-1.464006103244633
22,1186,0.02312882717734701,3.091042453358316,-3.766675509716238,0.20574125355903117,-1.581135950369696
23,1009,0.019677054487304498,3.1354942159291497,-3.9283020689202997,0.18261242638168415,-1.7003892606631072
24,821,0.016010764850423184,3.1780538303479458,-4.134493979821481,0.16293537189437965,-1.8144016482444145
25,769,0.01499668473809431,3.2188758248682006,-4.199926119768264,0.14692460704395646,-1.9178357010219222
26,694,0.013534069191466125,3.258096538021482,-4.302545128767104,0.13192792230586217,-2.02549954866902
27,593,0.011564413588673505,3.295836866004329,-4.459822690276183,0.11839385311439604,-2.1337384741434744
28,529,0.010316314988884122,3.332204510175204,-4.574028657415609,0.10682943952572253,-2.236521739450885
29,510,0.009945785717071649,3.367295829986474,-4.610606363555537,0.09651312453683841,-2.3380762743220225
30,440,0.00858067787355201,3.4011973816621555,-4.758242362361602,0.08656733881976676,-2.4468326844398733
31,385,0.007508093139358009,3.4339872044851463,-4.891773754986125,0.07798666094621474,-2.5512174804270904
32,333,0.006494013027029135,3.4657359027997265,-5.036874599293465,0.07047856780685674,-2.652446618121735
33,298,0.005811459105269316,3.4965075614664802,-5.147923602768504,0.0639845547798276,-2.749113556312807
34,254,0.004953391317914115,3.5263605246161616,-5.307682822255372,0.05817309567455829,-2.84433230475916
35,241,0.004699871289831897,3.5553480614894135,-5.360220155783254,0.05321970435664417,-2.9333265685655703
36,241,0.004699871289831897,3.58351893845611,-5.360220155783254,0.048519833066812276,-3.0257826354148385
37,204,0.003978314286828659,3.6109179126442243,-5.5268970954296925,0.04381996177698038,-3.1276658170885794
38,173,0.003373766527555677,3.6375861597263857,-5.691725494776129,0.03984164749015172,-3.2228424944562866
39,159,0.003100744958851749,3.6635616461296463,-5.776112887053677,0.036467880962596046,-3.3113233794252763
40,125,0.0024376925777136395,3.6888794541139363,-6.016703351971607,0.033367136003744295,-3.400183815381715
41,132,0.0025742033620656034,3.713572066704308,-5.962215166687538,0.030929443426030656,-3.476046687079115
42,106,0.0020671633059011663,3.7376696182833684,-6.181577995161842,0.028355240063965052,-3.562943431180444
43,127,0.0024766956589570574,3.7612001156935624,-6.000830002815317,0.026288076758063886,-3.6386397978016563
44,100,0.0019501540621709116,3.784189633918261,-6.239846903285817,0.02381138109910683,-3.737591615163204
45,98,0.0019111509809274932,3.8066624897703196,-6.260049610603336,0.021861227036935917,-3.8230406662017486
46,77,0.0015016186278716019,3.828641396489095,-6.5012116674202245,0.019950076056008424,-3.914522323322282
47,70,0.001365107843519638,3.8501476017100584,-6.596521847224549,0.018448457428136823,-3.99277452022203
48,63,0.0012285970591676743,3.871201010907891,-6.701882362882376,0.017083349584617186,-4.069650998337517
49,47,0.0009165724092203285,3.8918202981106265,-6.99486948756385,0.01585475252544951,-4.1442859797260985
50,56,0.0010920862748157105,3.912023005428146,-6.819665398538759,0.014938180116229181,-4.203834919533318
51,48,0.0009360739498420375,3.9318256327243257,-6.973816078366018,0.013846093841413472,-4.279752119238547
52,41,0.0007995631654900737,3.9512437185814275,-7.131445022569601,0.012910019891571435,-4.3497515333369
53,36,0.0007020554623815282,3.970291913552122,-7.261498150817799,0.01211045672608136,-4.41368600734043
54,39,0.0007605600842466555,3.9889840465642745,-7.181455443144262,0.011408401263699833,-4.473405242042052
55,33,0.0006435508405164008,4.007333185232471,-7.348509527807428,0.010647841179453176,-4.5423981135290035
56,31,0.0006045477592729826,4.02535169073515,-7.411029884788762,0.010004290338936775,-4.604741244103139
57,37,0.0007215570030032373,4.04305126783455,-7.234099176629684,0.009399742579663794,-4.667072975223308
58,24,0.00046803697492101877,4.060443010546419,-7.666963258925963,0.008678185576660556,-4.7469428071076685
59,29,0.0005655446780295643,4.07753744390572,-7.477721259287435,0.008210148601739537,-4.8023842555915275
60,22,0.0004290338936776005,4.0943445622221,-7.7539746359155926,0.007644603923709973,-4.873755249483446
61,27,0.000526541596786146,4.110873864173311,-7.5491802232695795,0.0072155700300323726,-4.931514083635639
62,19,0.00037052927181247317,4.127134385045092,-7.900578110107468,0.006689028433246227,-5.007286642107968
63,23,0.00044853543429930964,4.143134726391533,-7.709522873344759,0.0063184991614337535,-5.06427357348158
64,15,0.00029252310932563675,4.1588830833596715,-8.136966888171699,0.0058699637271344435,-5.137906824525033
65,16,0.00031202464994734583,4.174387269895637,-8.072428367034128,0.005577440617808807,-5.189025278454056
66,9,0.00017551386559538204,4.189654742026425,-8.64779251193769,0.005265415967861461,-5.246595130275534
67,9,0.00017551386559538204,4.204692619390966,-8.64779251193769,0.005089902102266079,-5.280496681951215
68,14,0.0002730215687039276,4.219507705176107,-8.20595975965865,0.004914388236670697,-5.315588001762485
69,10,0.00019501540621709115,4.23410650459726,-8.542431996279863,0.00464136666796677,-5.372746415602434
70,12,0.00023401848746050938,4.248495242049359,-8.360110439485908,0.004446351261749679,-5.415671460319468
71,14,0.0002730215687039276,4.2626798770413155,-8.20595975965865,0.004212332774289168,-5.469738681589743
72,10,0.00019501540621709115,4.276666119016055,-8.542431996279863,0.003939311205585242,-5.5367493918727035
73,10,0.00019501540621709115,4.290459441148391,-8.542431996279863,0.00374429579936815,-5.587521717246127
74,9,0.00017551386559538204,4.30406509320417,-8.64779251193769,0.0035492803931510587,-5.6410104021971135
75,10,0.00019501540621709115,4.31748811353631,-8.542431996279863,0.003373766527555677,-5.691725494776129
76,5,9.750770310854557e-05,4.330733340286331,-9.235579176839808,0.003178751121338586,-5.751266888467146
77,7,0.0001365107843519638,4.343805421853684,-8.899106940218596,0.00308124341823004,-5.782422056246942
78,6,0.00011700924373025469,4.356708826689592,-9.053257620045853,0.0029447326338780766,-5.827737252458984
79,8,0.00015601232497367291,4.3694478524670215,-8.765575547594073,0.0028277233901478215,-5.868283346853334
80,7,0.0001365107843519638,4.382026634673881,-8.899106940218596,0.002671711065174149,-5.9250361634457835
81,7,0.0001365107843519638,4.394449154672439,-8.899106940218596,0.002535200280822185,-5.977482638818326
82,5,9.750770310854557e-05,4.406719247264253,-9.235579176839808,0.002398689496470221,-6.0328327339014916
83,3,5.8504621865127346e-05,4.418840607796598,-9.746404800605799,0.0023011817933616756,-6.0743324648082435
84,7,0.0001365107843519638,4.430816798843313,-8.899106940218596,0.002242677171496548,-6.100084960910658
85,3,5.8504621865127346e-05,4.442651256490317,-9.746404800605799,0.002106166387144584,-6.162885862149689
86,6,0.00011700924373025469,4.454347296253507,-9.053257620045853,0.002047661765279457,-6.1910567391163855
87,4,7.800616248683646e-05,4.465908118654584,-9.458722728154019,0.0019306525215492024,-6.249897239139319
88,3,5.8504621865127346e-05,4.477336814478207,-9.746404800605799,0.0018526463590623659,-6.291140197673368
89,3,5.8504621865127346e-05,4.48863636973214,-9.746404800605799,0.0017941417371972385,-6.323228512224868
90,6,0.00011700924373025469,4.499809670330265,-9.053257620045853,0.0017356371153321112,-6.356380719541769
91,3,5.8504621865127346e-05,4.51085950651685,-9.746404800605799,0.0016186278716018565,-6.42617648147731
92,4,7.800616248683646e-05,4.5217885770490405,-9.458722728154019,0.0015601232497367292,-6.462990454600027
93,2,3.900308124341823e-05,4.532599493153256,-10.151869908713964,0.0014821170872498927,-6.514283748987578
94,8,0.00015601232497367291,4.543294782270004,-8.765575547594073,0.0014431140060064745,-6.540951996069739
95,2,3.900308124341823e-05,4.553876891600541,-10.151869908713964,0.0012871016810328017,-6.655362347247483
97,7,0.0001365107843519638,4.574710978503383,-8.899106940218596,0.0012480985997893833,-6.686134005914237
98,2,3.900308124341823e-05,4.584967478670572,-10.151869908713964,0.0011115878154374197,-6.801965821439358
99,2,3.900308124341823e-05,4.59511985013459,-10.151869908713964,0.0010725847341940013,-6.837683904041437
100,2,3.900308124341823e-05,4.605170185988092,-10.151869908713964,0.0010335816529505831,-6.874725175721787
101,1,1.9501540621709114e-05,4.61512051684126,-10.84501708927391,0.0009945785717071648,-6.913191456549583
102,4,7.800616248683646e-05,4.624972813284271,-9.458722728154019,0.0009750770310854558,-6.932994083845762
103,4,7.800616248683646e-05,4.634728988229636,-9.458722728154019,0.0008970708685986193,-7.0163756927848135
105,1,1.9501540621709114e-05,4.653960350157523,-10.84501708927391,0.0008190647061117829,-7.107347470990541
106,2,3.900308124341823e-05,4.663439094112067,-10.151869908713964,0.0007995631654900737,-7.131445022569601
107,2,3.900308124341823e-05,4.672828834461906,-10.151869908713964,0.0007605600842466555,-7.181455443144262
108,3,5.8504621865127346e-05,4.68213122712422,-9.746404800605799,0.0007215570030032373,-7.234099176629684
110,2,3.900308124341823e-05,4.700480365792417,-10.151869908713964,0.0006630523811381099,-7.318656564657747
111,1,1.9501540621709114e-05,4.709530201312334,-10.84501708927391,0.0006240492998946917,-7.3792811864741825
113,1,1.9501540621709114e-05,4.727387818712341,-10.84501708927391,0.0006045477592729826,-7.411029884788762
114,1,1.9501540621709114e-05,4.736198448394496,-10.84501708927391,0.0005850462186512735,-7.443819707611754
115,2,3.900308124341823e-05,4.74493212836325,-10.151869908713964,0.0005655446780295643,-7.477721259287435
118,1,1.9501540621709114e-05,4.770684624465665,-10.84501708927391,0.000526541596786146,-7.5491802232695795
120,1,1.9501540621709114e-05,4.787491742782046,-10.84501708927391,0.000507040056164437,-7.586920551252427
121,3,5.8504621865127346e-05,4.795790545596741,-9.746404800605799,0.0004875385155427279,-7.626141264405708
122,1,1.9501540621709114e-05,4.804021044733257,-10.84501708927391,0.0004290338936776005,-7.7539746359155926
123,1,1.9501540621709114e-05,4.812184355372417,-10.84501708927391,0.00040953235305589143,-7.800494651550485
124,1,1.9501540621709114e-05,4.820281565605037,-10.84501708927391,0.0003900308124341823,-7.849284815719917
125,2,3.900308124341823e-05,4.8283137373023015,-10.151869908713964,0.00037052927181247317,-7.900578110107468
128,1,1.9501540621709114e-05,4.852030263919617,-10.84501708927391,0.00033152619056905496,-8.011803745217692
129,1,1.9501540621709114e-05,4.859812404361672,-10.84501708927391,0.00031202464994734583,-8.072428367034128
131,1,1.9501540621709114e-05,4.875197323201151,-10.84501708927391,0.00029252310932563675,-8.136966888171699
132,1,1.9501540621709114e-05,4.882801922586371,-10.84501708927391,0.0002730215687039276,-8.20595975965865
134,1,1.9501540621709114e-05,4.897839799950911,-10.84501708927391,0.0002535200280822185,-8.280067731812371
136,1,1.9501540621709114e-05,4.912654885736052,-10.84501708927391,0.00023401848746050938,-8.360110439485908
142,1,1.9501540621709114e-05,4.955827057601261,-10.84501708927391,0.00021451694683880025,-8.447121816475539
148,1,1.9501540621709114e-05,4.997212273764115,-10.84501708927391,0.00019501540621709115,-8.542431996279863
150,2,3.900308124341823e-05,5.0106352940962555,-10.151869908713964,0.00017551386559538204,-8.64779251193769
160,1,1.9501540621709114e-05,5.075173815233827,-10.84501708927391,0.0001365107843519638,-8.899106940218596
162,1,1.9501540621709114e-05,5.087596335232384,-10.84501708927391,0.00011700924373025469,-9.053257620045853
165,1,1.9501540621709114e-05,5.10594547390058,-10.84501708927391,9.750770310854557e-05,-9.235579176839808
202,1,1.9501540621709114e-05,5.308267697401205,-10.84501708927391,7.800616248683646e-05,-9.458722728154019
207,1,1.9501540621709114e-05,5.332718793265369,-10.84501708927391,5.8504621865127346e-05,-9.746404800605799
260,1,1.9501540621709114e-05,5.560681631015528,-10.84501708927391,3.900308124341823e-05,-10.151869908713964
273,1,1.9501540621709114e-05,5.60947179518496,-10.84501708927391,1.9501540621709114e-05,-10.84501708927391
