scenario,run,largest_component_size,largest_component_fraction,components,isolated_fraction,average_path_length_lcc
random_5_percent,1,48682,0.9993431046516402,3,0.0,5.954298134795916
random_5_percent,2,48683,0.9993636326312765,3,0.0,5.914876134916396
random_5_percent,3,48683,0.9993636326312765,3,0.0,5.732185407337414
random_5_percent,4,48681,0.999322576672004,3,0.0,5.880610620377978
random_5_percent,5,48682,0.9993431046516402,3,0.0,5.922899847989975
random_5_percent,6,48682,0.9993431046516402,3,0.0,5.869643700827838
random_5_percent,7,48682,0.9993431046516402,3,0.0,5.948751823093199
random_5_percent,8,48683,0.9993636326312765,3,0.0,5.897550686085206
random_5_percent,9,48684,0.9993841606109126,3,0.0,6.098222172010764
random_5_percent,10,48681,0.999322576672004,3,0.0,5.747388557929335
random_5_percent,11,48683,0.9993636326312765,3,0.0,6.2307731810525455
random_5_percent,12,48671,0.9991172968756415,4,0.0,5.564014023012122
random_5_percent,13,48682,0.9993431046516402,3,0.0,6.0375287586532735
random_5_percent,14,48683,0.9993636326312765,3,0.0,5.8102314510496695
random_5_percent,15,48683,0.9993636326312765,3,0.0,6.081018138120866
random_5_percent,16,48682,0.9993431046516402,3,0.0,6.245754247036832
random_5_percent,17,48683,0.9993636326312765,3,0.0,6.2053492563986685
random_5_percent,18,48670,0.9990967688960053,4,0.0,5.869964710596068
random_5_percent,19,48670,0.9990967688960053,4,0.0,6.100795681028992
random_5_percent,20,48672,0.9991378248552777,4,0.0,6.297256066240677
random_5_percent,21,48683,0.9993636326312765,3,0.0,5.750335082782137
random_5_percent,22,48683,0.9993636326312765,3,0.0,6.051462809662709
random_5_percent,23,48683,0.9993636326312765,3,0.0,6.25069455856374
random_5_percent,24,48682,0.9993431046516402,3,0.0,5.7763334257718615
random_5_percent,25,48681,0.999322576672004,3,0.0,6.177554950698439
random_5_percent,26,48682,0.9993431046516402,3,0.0,6.432623867628028
random_5_percent,27,48683,0.9993636326312765,3,0.0,5.963879103159279
random_5_percent,28,48671,0.9991172968756415,4,0.0,6.046889767824122
random_5_percent,29,48687,0.9994457445498214,3,0.0,6.043023148338332
random_5_percent,30,48681,0.999322576672004,3,0.0,5.864699311832375
degree_centrality_5_percent,1,48641,0.9985014574865542,42,0.0007800632261772796,6.369374486019737
